point,dateBegin,dateEnd,time,contact,phone,event,url
慶城殿,2020-12-05,2020-12-05,13時至21時,城先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7731608
玉興堂,2020-12-26,2020-12-26,7時至22時,何先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7735788
安龍壇,2020-07-19,2020-07-19,8時至22時,鄭先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7686394
坤龍壇,2020-07-19,2020-07-19,19時至21時,李先生,3913056,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7696757
三平廣濟宮,2020-08-30,2020-08-30,8時至24時,黃先生,2971070,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7705618
文龍殿,2020-10-17,2020-10-17,7時至12時,黃先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7717263
李家福德光准,2021-02-28,2021-02-28,6時至22時,李小姐,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7746418
李家福德光淮,2021-02-28,2021-02-28,6時至22時,李小姐,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7748249
靈濟殿,2021-05-01,2021-05-01,9時至17時,何先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7759236
安平開台天后宮,2021-04-17,2021-04-17,10時至17時,鄭先生,,遶境(安億停車場-安億橋-平生路-安平路-開台天后宮),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7757705
東嶽堂,2021-03-20,2021-03-20,15時至22時,吳先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7752351
東嶽堂,2021-03-21,2021-03-21,6時至21時,吳先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7752351
