point,dateBegin,dateEnd,time,contact,phone,event,url
萬仙復興堂,2020-12-18,2020-12-18,5時至7時,鄭先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7734649
龍鳳閣,2020-12-19,2020-12-19,5時至7時,鄭先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7734649
良皇宮,2020-07-25,2020-07-25,5時至21時,吳先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7698014
良皇宮,2021-04-17,2021-04-18,3時至22時,吳先生,5762677,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7757705
良皇宮,2021-11-20,2021-11-20,13時至22時,吳先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7843940
石家文衡聖帝,2020-08-02,2020-08-02,7時至22時,石先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7699133
麻豆山靈宮,2020-07-11,2020-07-11,10時至22時,吳先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7686394
麻豆山靈宮,2020-07-12,2020-07-12,19時至21時,吳先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7686394
三元宮,2020-11-14,2020-11-14,6時至24時,莊先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7727788
慈康殿,2020-11-21,2020-11-21,13時至22時,馬先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7728934
麻豆轎友會,2020-08-08,2020-08-08,11時30分至22時,錢先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7701023
武聖宮,2020-08-09,2020-08-09,18時30分至22時,陳先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7701023
太子宮,2020-10-17,2020-10-17,18時30分至22時,施先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7717263
太子宮,2021-05-08,2021-05-08,12時至22時,施先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7762329
保寧堂,2020-10-18,2020-10-18,15時至21時,胡先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7717263
觀音寺,2020-10-18,2020-10-18,12時至18時,陳先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7717263
平安宮,2020-10-24,2020-10-25,20時至翌日1時,石先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7718924
平安宮,2020-10-26,2020-10-26,6時至22時,石先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7718924
平安宮,2020-10-30,2020-10-31,18時至22時,石先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7718924
平安宮,2021-08-21,2021-08-21,8時至18時,石先生,5722084,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
保寧宮,2020-10-31,2020-10-31,18時至22時,王先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7720404
嘉安宮,2021-12-25,2021-12-25,6時至22時,林先生,5711519,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7852681
朝天宮,2021-05-08,2021-05-08,19時至21時,葉先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7762329
東香堂,2021-11-27,2021-11-27,14時30分至18時30分,林先生,5728256,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7845271
帥安宮,2021-08-15,2021-08-15,13時至17時,江先生,5716586,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7792639
護濟宮,2021-08-20,2021-08-20,13時至17時,洪先生,5720993,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
麻豆石家文衡聖帝,2021-03-28,2021-03-28,14時至18時,石先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7753540
