point,dateBegin,dateEnd,time,contact,phone,event,url
南聖宮,2020-09-06,2020-09-07,9時至12時,吳先生,2515560,中元普渡祭拜活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7708978
南聖宮,2021-05-23,2021-05-25,整日,吳先生,,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7763717
南聖宮,2021-08-26,2021-08-27,12時至24時,吳先生,2515560,中元普渡,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7793842
南聖宮,2022-01-06,2022-01-07,8時至24時,吳先生,2515560,法會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7865341
私壇(北門路二段),2021-01-16,2021-01-17,8時至24時,吳先生,2821107,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7740591
私壇(北門路二段),2022-01-08,2022-01-08,8時至22時,吳先生,2821107,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7865341
掌天宮,2021-01-15,2021-01-15,7時至18時,林先生,2593694,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7865341
代天府鎮南宮,2020-12-04,2020-12-05,13時至18時,陳小姐,2368433,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7731608
代天府鎮南宮,2021-05-15,2021-05-15,14時至16時,陳小姐,,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7763717
羅家廟,2020-12-05,2020-12-05,5時至22時,羅先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7730292
鎮福堂,2020-12-06,2020-12-06,10時至23時,呂先生,2285901,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7731608
和義堂,2020-12-08,2020-12-08,8時至24時,林先生,2817386,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7731608
朝封堂,2020-12-15,2020-12-16,12時至24時,卓先生,2505680,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7733076
南寅宮,2020-12-19,2020-12-19,7時至23時,李先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7734649
南寅宮,2021-04-17,2021-04-17,6時至15時,李先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7757705
南寅宮,2021-04-23,2021-04-23,18時至22時,李先生,,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7757705
天聖壇,2020-12-25,2020-12-25,10時至17時,薛先生,2355347,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7735788
和善堂,2020-12-26,2020-12-27,8時至1時30分,黃先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7735788
祀典興濟宮,2020-07-23,2020-07-27,整日,王小姐,2250326,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7686394
祀典興濟宮,2020-08-29,2020-08-31,整日,王小姐,2522720,中元普渡祭拜活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7704224
祀典興濟宮,2020-09-15,2020-09-17,整日,王小姐,2522720,消災祈福法會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7708978
祀典興濟宮,2020-11-03,2020-11-04,整日,王小姐,2250326,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7718924
