point,dateBegin,dateEnd,time,contact,phone,event,url
財團法人台灣省台南市豁落院仁慈堂,2020-12-19,2020-12-19,14時至22時,陳先生,2653595,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7733076
塩埕烏橋開基玉聖宮,2020-11-29,2020-11-29,7時至22時,何先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7730292
塩埕烏橋開基玉聖宮,2020-12-07,2020-12-13,16時至24時,李先生,2646715,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7733076
塩埕烏橋開基玉聖宮,2020-12-26,2020-12-27,7時至22時,何先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7735788
塩埕烏橋開基玉聖宮,2021-01-02,2021-01-03,6時至6時,何先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7737292
萬年殿,2021-01-01,2021-01-01,5時至21時,王小姐,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7734649
萬年殿,2021-02-12,2021-02-15,6時至22時,王小姐,2622668,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7745691
弘安宮,2020-12-10,2020-12-11,8時至20時,杜先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7733076
和善堂,2020-12-26,2020-12-31,3時至22時,黃先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7735788
和善堂,2021-02-26,2021-02-26,8時至22時,黃先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7748249
四鯤鯓陳家,2021-01-09,2021-01-09,13時至22時,陳先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7738749
灣裡玄德宮,2020-07-25,2020-07-25,15時至22時,杜先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7698014
北極真武殿,2020-07-26,2020-07-26,7時至24時,吳先生,2671573,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7698014
北極真武殿,2020-08-27,2020-08-27,8時至24時,吳先生,2671573,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7704224
北極真武殿,2021-02-19,2021-02-20,20時至4時,吳先生,,聖誕廟會活動,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7745691
北極真武殿,2021-03-14,2021-03-14,8時至22時,吳先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7750919
北極真武殿,2021-04-13,2021-04-14,9時至22時30分,吳先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7756056
