point,dateBegin,dateEnd,time,contact,phone,event,url
明直宮,2020-12-25,2020-12-25,15時至20時,蔡小姐,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7735788
中洲保安宮,2021-01-09,2021-01-09,8時至23時,葉先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7737292
上崙仁君堂,2020-08-01,2020-08-01,7時至15時,林先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7699133
出仙宮,2020-11-14,2020-11-14,11時至17時30分,蘇先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7726460
玉皇壇,2020-11-14,2020-11-14,6時至22時,鄭先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7726460
雲狩府,2020-11-28,2020-11-28,14時至19時,黃先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7730292
二王宮,2020-11-30,2020-11-30,整日,韓先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7730292
大宅聖天宮,2020-10-31,2020-10-31,6時至12時,戴先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7720404
許家池府千歲,2021-12-26,2021-12-26,14時至16時,許先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7852681
興安宮,2021-05-10,2021-05-10,9時至16時,林先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7762329
萬龍宮,2021-11-14,2021-11-14,6時至18時,劉小姐,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7840523
共和堂,2021-11-28,2021-11-28,整日,張先生,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7845271
保安宮,2021-11-28,2021-11-28,8時至22時,張先生,,遶境(後壁里道路),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7845271
廣刑堂,2021-11-28,2021-11-28,8時至24時,張先生,,遶境,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7845271
聖媽宮,2021-05-01,2021-05-01,16時30分至18時,范小姐,,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7759236
十三甲武德宮,2021-04-25,2021-04-25,5時至18時,杜先生,3660852,遶境(如附件),https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7757705
中玄府,2021-10-08,2021-10-09,12時至22時,林先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7804288
土庫天后宮,2021-10-10,2021-10-10,7時至18時,黃先生,,一般廟會,https://www.tainan.gov.tw/News_Content.aspx?n=13371&s=7804288
